  32   1 1.00-30 8.28-04 6.42-04 5.56-04 4.93-04 4.19-04 3.61-04 3.00-04 2.20-04 1.63-04 1.14-04 6.51-05 4.00-05 2.36-05 0.00+00
  33   1 1.00-30 1.19-04 1.16-04 1.16-04 1.17-04 1.18-04 1.16-04 1.09-04 9.10-05 7.15-05 5.10-05 2.85-05 1.69-05 9.54-06 0.00+00
  34   1 2.52+07 3.75-04 3.56-04 3.52-04 3.53-04 3.56-04 3.49-04 3.29-04 2.73-04 2.15-04 1.54-04 9.01-05 6.00-05 4.25-05-2.62-07
  35   1 2.56+04 6.10-04 5.87-04 5.84-04 5.89-04 5.94-04 5.84-04 5.49-04 4.57-04 3.59-04 2.56-04 1.43-04 8.51-05 4.79-05 0.00+00
  36   1 1.00-30 4.69-04 4.08-04 3.82-04 3.65-04 3.50-04 3.41-04 3.38-04 3.47-04 3.68-04 4.03-04 4.63-04 5.07-04 5.45-04 6.31-04
  37   1 1.00-30 8.86-05 8.77-05 8.66-05 8.46-05 7.97-05 7.35-05 6.45-05 4.87-05 3.56-05 2.37-05 1.23-05 6.96-06 3.78-06 0.00+00
  38   1 1.40+05 1.51-04 1.48-04 1.45-04 1.42-04 1.33-04 1.23-04 1.08-04 8.15-05 5.98-05 4.02-05 2.17-05 1.32-05 8.13-06 1.63-06
  39   1 7.28+00 2.05-04 2.04-04 2.02-04 1.97-04 1.86-04 1.72-04 1.51-04 1.14-04 8.31-05 5.55-05 2.87-05 1.63-05 8.82-06 0.00+00
  40   1 3.63-04 2.02-05 1.95-05 1.81-05 1.61-05 1.27-05 1.01-05 7.64-06 4.87-06 3.21-06 1.97-06 9.44-07 5.12-07 2.69-07 0.00+00
  41   1 4.16+03 4.26-05 3.80-05 3.42-05 2.97-05 2.33-05 1.85-05 1.41-05 9.41-06 6.75-06 4.90-06 3.52-06 3.00-06 2.74-06 2.51-06
  42   1 2.88-03 3.65-05 3.51-05 3.26-05 2.89-05 2.29-05 1.82-05 1.38-05 8.77-06 5.78-06 3.55-06 1.70-06 9.22-07 4.85-07 0.00+00
  43   1 1.00-30 2.69-06 2.40-06 2.12-06 1.77-06 1.26-06 8.96-07 5.86-07 3.03-07 1.73-07 9.44-08 4.06-08 2.09-08 1.06-08 0.00+00
  44   1 1.08+01 6.32-06 4.77-06 3.89-06 3.10-06 2.15-06 1.53-06 1.02-06 5.55-07 3.36-07 2.00-07 1.03-07 6.66-08 4.68-08 2.40-08
  45   1 1.00+04 6.31-05 5.32-05 4.67-05 3.99-05 3.10-05 2.46-05 1.90-05 1.31-05 9.92-06 7.91-06 6.60-06 6.20-06 6.05-06 6.05-06
