  46   2 8.55+06 2.68-04 7.93-04 1.11-03 1.25-03 1.23-03 1.12-03 9.84-04 8.35-04 7.70-04 7.98-04 1.27-03 2.00-03 2.82-03 5.06-03
  47   2 8.51+06 1.81-04 5.35-04 7.43-04 8.36-04 8.04-04 7.05-04 5.80-04 4.33-04 3.62-04 4.33-04 1.32-03 2.67-03 4.21-03 8.40-03
  48   2 8.55+06 1.31-03 3.95-03 5.62-03 6.53-03 6.61-03 5.96-03 4.88-03 3.23-03 2.14-03 1.49-03 2.15-03 3.86-03 5.94-03 1.18-02
  49   2 4.17+04 7.41-04 2.22-03 3.15-03 3.64-03 3.61-03 3.19-03 2.55-03 1.62-03 1.04-03 6.18-04 2.92-04 1.67-04 1.02-04 4.15-05
   4   3 4.74-04 1.45-01 1.42-01 1.36-01 1.33-01 1.42-01 1.43-01 1.25-01 8.83-02 6.15-02 4.01-02 2.08-02 1.20-02 6.70-03 0.00+00
   5   3 2.33-09 1.20-01 1.17-01 1.14-01 1.15-01 1.34-01 1.42-01 1.34-01 1.14-01 1.03-01 9.64-02 9.36-02 9.40-02 9.52-02 9.96-02
   6   3 1.00-30 1.83-02 1.62-02 1.34-02 1.16-02 1.23-02 1.24-02 1.05-02 6.58-03 4.11-03 2.40-03 1.10-03 5.83-04 3.03-04 0.00+00
   7   3 1.37-01 4.70-02 4.62-02 4.53-02 4.82-02 6.01-02 6.22-02 5.30-02 3.44-02 2.24-02 1.38-02 6.78-03 3.82-03 2.09-03 0.00+00
   8   3 1.23+09 3.35-02 2.16-02 1.69-02 1.50-02 1.32-02 1.16-02 1.04-02 1.06-02 1.25-02 1.59-02 2.15-02 2.58-02 3.00-02-5.65-03
   9   3 1.00-30 5.96-02 5.81-02 5.76-02 5.84-02 6.02-02 6.25-02 6.62-02 7.25-02 7.74-02 8.03-02 7.38-02 6.00-02 4.38-02 0.00+00
  10   3 1.00-30 1.19-02 1.18-02 1.31-02 1.47-02 1.43-02 1.20-02 9.25-03 5.91-03 3.94-03 3.29-03 8.71-03 1.82-02 2.93-02 5.94-02
  11   3 2.23-01 1.54-02 1.52-02 1.69-02 1.91-02 1.94-02 1.76-02 1.59-02 1.48-02 1.50-02 1.56-02 1.47-02 1.21-02 8.97-03 0.00+00
  12   3 3.21+05 2.53-03 2.53-03 2.97-03 3.52-03 3.42-03 2.76-03 2.00-03 1.16-03 7.21-04 6.02-04 1.83-03 3.95-03 6.38-03 1.30-02
  13   3 7.90+10 2.26-01 2.24-01 2.24-01 2.31-01 2.51-01 2.81-01 3.32-01 4.46-01 5.74-01 7.37-01 9.91-01 1.20+00 1.41+00-3.32-01
  14   3 3.13+01 2.83-02 2.69-02 2.82-02 3.07-02 2.96-02 2.50-02 1.92-02 1.18-02 7.49-03 4.43-03 2.05-03 1.10-03 5.76-04 0.00+00
  15   3 1.68+01 2.39-02 2.32-02 2.53-02 2.83-02 2.83-02 2.52-02 2.19-02 1.90-02 1.80-02 1.78-02 1.80-02 1.83-02 1.85-02 1.88-02
  16   3 1.16+02 2.37-02 2.24-02 2.32-02 2.48-02 2.37-02 2.00-02 1.54-02 9.41-03 5.90-03 3.46-03 1.57-03 8.33-04 4.32-04 0.00+00
  17   3 5.18-01 8.78-03 8.73-03 9.83-03 1.10-02 1.06-02 8.83-03 6.72-03 4.16-03 2.65-03 1.58-03 7.33-04 3.92-04 2.04-04 0.00+00
  18   3 2.29+05 5.75-03 6.40-03 6.28-03 5.67-03 4.50-03 3.68-03 3.06-03 2.62-03 2.63-03 2.89-03 3.39-03 3.69-03 3.88-03-4.12-07
  19   3 1.00-30 1.09-02 1.16-02 1.18-02 1.18-02 1.16-02 1.17-02 1.21-02 1.30-02 1.37-02 1.42-02 1.31-02 1.06-02 7.76-03 0.00+00
  20   3 3.67+06 6.93-03 7.30-03 7.14-03 6.47-03 5.08-03 4.02-03 3.06-03 1.97-03 1.33-03 1.08-03 2.56-03 5.22-03 8.30-03 1.68-02
  21   3 1.79-02 8.49-03 9.11-03 8.98-03 8.21-03 6.64-03 5.56-03 4.71-03 3.98-03 3.70-03 3.56-03 3.16-03 2.55-03 1.86-03 0.00+00
  22   3 1.19-01 2.25-03 2.51-03 2.42-03 2.11-03 1.54-03 1.15-03 8.12-04 4.71-04 2.90-04 1.84-04 2.10-04 3.51-04 5.30-04 1.05-03
  23   3 3.21-03 3.86-02 4.08-02 4.24-02 4.43-02 4.83-02 5.36-02 6.19-02 7.89-02 9.71-02 1.17-01 1.23-01 1.06-01 8.04-02 0.00+00
  24   3 1.00-30 1.16-02 1.24-02 1.23-02 1.15-02 9.59-03 7.88-03 6.10-03 3.85-03 2.48-03 1.59-03 1.61-03 2.50-03 3.68-03 7.16-03
  25   3 8.27-02 1.03-02 1.10-02 1.09-02 1.01-02 8.28-03 6.90-03 5.67-03 4.43-03 3.85-03 3.51-03 2.97-03 2.36-03 1.70-03 0.00+00
  26   3 1.36+05 1.44-02 1.56-02 1.56-02 1.47-02 1.30-02 1.23-02 1.25-02 1.42-02 1.64-02 1.86-02 1.90-02 1.66-02 1.32-02 2.39-03
  27   3 1.66+10 6.54-03 6.93-03 6.76-03 5.91-03 4.19-03 2.98-03 2.02-03 1.11-03 6.77-04 8.88-04 5.32-03 1.40-02 2.68-02-2.90-02
  28   3 1.11+01 6.44-03 7.08-03 7.00-03 6.18-03 4.49-03 3.37-03 2.56-03 1.93-03 1.71-03 1.60-03 1.40-03 1.13-03 8.18-04 0.00+00
  29   3 2.65+02 9.55-03 9.40-03 8.81-03 7.60-03 5.48-03 4.01-03 2.78-03 1.56-03 9.37-04 5.75-04 6.16-04 1.01-03 1.51-03 2.98-03
